cve,legacy_date_published,current_date_published
CVE-2002-2432,2010-04-05,2022-10-03
CVE-2002-2433,2010-04-05,2022-10-03
CVE-2002-2434,2010-04-05,2022-10-03
CVE-2002-2437,2011-12-07,2022-10-03
CVE-2003-0061,2005-04-15,2022-10-03
CVE-2003-0176,2003-08-18,2022-10-03
CVE-2003-0177,2003-08-18,2022-10-03
CVE-2003-0207,2003-04-15,2022-10-03
CVE-2003-0214,2003-04-26,2022-10-03
CVE-2003-0249,2006-02-27,2022-10-03
CVE-2003-0261,2003-05-08,2022-10-03
CVE-2003-0340,2003-05-23,2022-10-03
CVE-2003-0355,2003-05-30,2022-10-03
CVE-2003-0359,2003-06-18,2022-10-03
CVE-2003-0366,2003-06-18,2022-10-03
CVE-2003-0381,2003-06-20,2022-10-03
CVE-2003-0433,2003-06-18,2022-10-03
CVE-2003-0438,2003-06-28,2022-10-03
CVE-2003-0445,2003-06-24,2022-10-03
CVE-2003-0451,2003-06-24,2022-10-03
CVE-2003-0452,2003-06-24,2022-10-03
CVE-2003-0454,2003-07-04,2022-10-03
CVE-2003-0458,2003-07-17,2022-10-03
CVE-2003-0463,2006-02-07,2022-10-03
CVE-2003-0489,2003-06-28,2022-10-03
CVE-2003-0515,2003-07-10,2022-10-03
CVE-2003-0537,2003-07-10,2022-10-03
CVE-2003-0538,2003-07-10,2022-10-03
CVE-2003-0573,2003-08-18,2022-10-03
CVE-2003-0574,2003-08-18,2022-10-03
CVE-2003-0595,2003-07-25,2022-10-03
CVE-2003-0606,2003-08-01,2022-10-03
CVE-2003-0613,2003-08-14,2022-10-03
CVE-2003-0647,2003-08-05,2022-10-03
CVE-2003-0651,2003-08-05,2022-10-03
CVE-2003-0653,2003-08-05,2022-10-03
CVE-2003-0654,2003-08-21,2022-10-03
CVE-2003-0657,2003-08-14,2022-10-03
CVE-2003-0670,2003-08-14,2022-10-03
CVE-2003-0671,2003-08-14,2022-10-03
CVE-2003-0672,2003-08-14,2022-10-03
CVE-2003-0677,2003-08-14,2022-10-03
CVE-2003-0679,2003-08-15,2022-10-03
CVE-2003-0680,2003-09-18,2022-10-03
CVE-2003-0691,2006-02-27,2022-10-03
CVE-2003-0705,2003-09-12,2022-10-03
CVE-2003-0706,2003-09-12,2022-10-03
CVE-2003-0724,2003-09-03,2022-10-03
CVE-2003-0731,2003-09-04,2022-10-03
CVE-2003-0732,2003-09-04,2022-10-03
CVE-2003-0745,2003-09-06,2022-10-03
